Document Title,Author Keywords,Abstract,Publication Year,Authors,Start Page,End Page,Pages count,Article Citation Count,DOI,Link,Document Identifier,Publisher
Automatic Registration of Terrestrial and Airborne Point Clouds Using Building Outline Features,Airborne laser scanning;building outline;global optimization method;registration;terrestrial laser scanning,"Terrestrial laser scanner (TLS) and airborne laser scanner (ALS) can effectively capture point clouds from side or top view, respectively. Registering point clouds captured by ALS and TLS provides an integrated data source for three-dimensional (3-D) reconstruction. However, registration is difficult between TLS and ALS data because of the differences in scanning perspectives, scanning area, and spatial resolutions. A new method that can achieve automatic horizontal registration with ALS and TLS data based on building contour features is proposed in this study. The key steps include horizontal and vertical registrations based on 2-D building outlines and ground planes in ALS and TLS data, respectively. First, the 2-D building outlines are extracted from both ALS and TLS data. Second, the horizontal registration is accomplished by using the four-point congruent sets method for initial registration and the global optimization method for refined registration. Finally, the ground surface in the same region of ALS and TLS data are fitted for vertical registration, and the average elevation difference between the corresponding ground planes is calculated as the translation parameter value in the vertical direction. The results indicate that the proposed method can successfully match ALS and TLS data with an accuracy of 0.2-m both in the horizontal and vertical directions.",2018,W. Kim; J. Chai,628,638,11,4,10.1109/JSTARS.2017.2788054,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8255608,IEEE Journals,IEEE
Context-Based Filtering of Noisy Labels for Automatic Basemap Updating From UAV Data,Basemap updating;image classification;informal settlements;label noise;random forests;unmanned aerial vehicles (UAVs);urban planning,"Unmanned aerial vehicles (UAVs) have the potential to obtain high-resolution aerial imagery at frequent intervals, making them a valuable tool for urban planners who require up-to-date basemaps. Supervised classification methods can be exploited to translate the UAV data into such basemaps. However, these methods require labeled training samples, the collection of which may be complex and time consuming. Existing spatial datasets can be exploited to provide the training labels, but these often contain errors due to differences in the date or resolution of the dataset from which these outdated labels were obtained. In this paper, we propose an approach for updating basemaps using global and local contextual cues to automatically remove unreliable samples from the training set, and thereby, improve the classification accuracy. Using UAV datasets over Kigali, Rwanda, and Dar es Salaam, Tanzania, we demonstrate how the amount of mislabeled training samples can be reduced by 44.1% and 35.5%, respectively, leading to a classification accuracy of 92.1% in Kigali and 91.3% in Dar es Salaam. To achieve the same accuracy in Dar es Salaam, between 50000 and 60000 manually labeled image segments would be needed. This demonstrates that the proposed approach of using outdated spatial data to provide labels and iteratively removing unreliable samples is a viable method for obtaining high classification accuracies while reducing the costly step of acquiring labeled training samples.",2018,Wen Wang; A. Stolcke; Jing Zheng,2731,2741,11,,10.1109/JSTARS.2017.2762905,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8103751,IEEE Journals,IEEE
Bidirectional Attention-Recognition Model for Fine-Grained Object Classification,Fine-grained object classification;interpretable machine learning;visual attention;pattern recognition;data augmentation,"Fine-grained object classification (FGOC) is a challenging research topic in multimedia computing with machine learning, which faces two pivotal conundrums: focusing attention on the discriminate part regions, and then processing recognition with the part-based features. Existing approaches generally adopt a unidirectional two-step structure, that first locate the discriminate parts and then recognize the part-based features. However, they neglect the truth that part localization and feature recognition can be reinforced in a bidirectional process. In this paper, we propose a novel bidirectional attention-recognition model (BARM) to actualize the bidirectional reinforcement for FGOC. The proposed BARM consists of one attention agent for discriminate part regions proposing and one recognition agent for feature extraction and recognition. Meanwhile, a feedback flow is creatively established to optimize the attention agent directly by recognition agent. Therefore, in BARM the attention agent and the recognition agent can reinforce each other in a bidirectional way and the overall framework can be trained end-to-end without neither object nor parts annotations. Moreover, a novel Multiple Random Erasing data augmentation is proposed, and it exhibits impressive pertinency and superiority for FGOC. Conducted on several extensive FGOC benchmarks, BARM outperforms the present state-of-the-art methods in classification accuracy. Furthermore, BARM exhibits a clear interpretability and keeps consistent with the human perception in visualization experiments.",2020,Y. Gao; A. Rehman; Z. Wang,1785,1795,11,2,10.1109/TMM.2019.2954747,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8907499,IEEE Journals,IEEE
Robust Reading Comprehension With Linguistic Constraints via Posterior Regularization,Machine reading comprehension;robust;adversarial examples;linguistic constraints;posterior regularization,"In spite of the great advancements of machine reading comprehension (RC), existing RC models are still vulnerable and not robust to different types of adversarial examples. Neural models over-confidently predict wrong answers to semantic different adversarial examples, while over-sensitively predict wrong answers to semantic equivalent adversarial examples. Existing methods which improve the robustness of such neural models merely mitigate one of the two issues but ignore the other. In this article, we address the over-confidence issue and the over-sensitivity issue existing in current RC models simultaneously with the help of external linguistic knowledge. We first incorporate external knowledge to impose different linguistic constraints (entity constraint, lexical constraint, and predicate constraint), and then regularize RC models through posterior regularization. Linguistic constraints induce more reasonable predictions for both semantic different and semantic equivalent adversarial examples, and posterior regularization provides an effective mechanism to incorporate these constraints. Our method can be applied to any existing neural RC models including state-of-the-art BERT models. Extensive experiments show that our method remarkably improves the robustness of base RC models, and is better to cope with these two issues simultaneously.",2020,Y. Jin; Z. Liu,2500,2510,11,1,10.1109/TASLP.2020.3016132,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9165888,IEEE Journals,IEEE
Seq2seq-Vis: A Visual Debugging Tool for Sequence-to-Sequence Models,Explainable AI;Visual Debugging;Visual Analytics;Machine Learning;Deep Learning;NLP,"Neural sequence-to-sequence models have proven to be accurate and robust for many sequence prediction tasks, and have become the standard approach for automatic translation of text. The models work with a five-stage blackbox pipeline that begins with encoding a source sequence to a vector space and then decoding out to a new target sequence. This process is now standard, but like many deep learning methods remains quite difficult to understand or debug. In this work, we present a visual analysis tool that allows interaction and “what if�?-style exploration of trained sequence-to-sequence models through each stage of the translation process. The aim is to identify which patterns have been learned, to detect model errors, and to probe the model with counterfactual scenario. We demonstrate the utility of our tool through several real-world sequence-to-sequence use cases on large-scale models.",2019,Y. Li; S. Zhang; J. Zhang; Y. Yin; W. Xiao; Z. Zhang,353,363,11,24,10.1109/TVCG.2018.2865044,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8494828,IEEE Journals,IEEE
A Perspective on Deep Imaging,Tomographic imaging;medical imaging;data acquisition;image reconstruction;image analysis;big data;machine learning;deep learning,"The combination of tomographic imaging and deep learning, or machine learning in general, promises to empower not only image analysis but also image reconstruction. The latter aspect is considered in this perspective article with an emphasis on medical imaging to develop a new generation of image reconstruction theories and techniques. This direction might lead to intelligent utilization of domain knowledge from big data, innovative approaches for image reconstruction, and superior performance in clinical and preclinical applications. To realize the full impact of machine learning for tomographic imaging, major theoretical, technical and translational efforts are immediately needed.",2016,Y. Yang; S. Kang; J. Seo,8914,8924,11,198,10.1109/ACCESS.2016.2624938,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7733110,IEEE Journals,IEEE
"Enabling Low-Power, Multi-Modal Neural Interfaces Through a Common, Low-Bandwidth Feature Space",Brain-machine interface (BMI);implantable;low power;multi-modal;neural interface,"Brain-Machine Interfaces (BMIs) have shown great potential for generating prosthetic control signals. Translating BMIs into the clinic requires fully implantable, wireless systems; however, current solutions have high power requirements which limit their usability. Lowering this power consumption typically limits the system to a single neural modality, or signal type, and thus to a relatively small clinical market. Here, we address both of these issues by investigating the use of signal power in a single narrow frequency band as a decoding feature for extracting information from electrocorticographic (ECoG), electromyographic (EMG), and intracortical neural data. We have designed and tested the Multi-modal Implantable Neural Interface (MINI), a wireless recording system which extracts and transmits signal power in a single, configurable frequency band. In prerecorded datasets, we used the MINI to explore low frequency signal features and any resulting tradeoff between power savings and decoding performance losses. When processing intracortical data, the MINI achieved a power consumption 89.7% less than a more typical system designed to extract action potential waveforms. When processing ECoG and EMG data, the MINI achieved similar power reductions of 62.7% and 78.8%. At the same time, using the single signal feature extracted by the MINI, we were able to decode all three modalities with less than a 9% drop in accuracy relative to using high-bandwidth, modality-specific signal features. We believe this system architecture can be used to produce a viable, cost-effective, clinical BMI.",2016,Yu Zhou; Chengqing Zong; Bo Xu,521,531,11,19,10.1109/TNSRE.2015.2501752,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7332964,IEEE Journals,IEEE
Gradient Tree Boosting-Based Positioning Method for Monolithic Scintillator Crystals in Positron Emission Tomography,Field-programmable gate array (FPGA);gradient tree boosting;machine learning;monolithic scintillator;positron emission tomography (PET),"Monolithic crystals are considered as an alternative for complex segmented scintillator arrays in positron emission tomography systems. Monoliths provide high sensitivity, good timing, and energy resolution while being cheaper than highly segmented arrays. Furthermore, monoliths enable intrinsic depth of interaction capabilities and good spatial resolutions (SRs) mostly based on statistical calibrations. To widely translate monoliths into clinical applications, a time-efficient calibration method and a positioning algorithm implementable in system architecture such as field-programmable gate arrays (FPGAs) are required. We present a novel positioning algorithm based on gradient tree boosting (GTB) and a fast fan beam calibration requiring less than 1 h per detector block. GTB is a supervised machine learning technique building a set of sequential binary decisions (decision trees). The algorithm handles different sets of input features, their combinations and partially missing data. GTB models are strongly adaptable influencing both the positioning performance and the memory requirement of trained positioning models. For an FPGA-implementation, the memory requirement is the limiting aspect. We demonstrate a general optimization and propose two different optimization scenarios: one without compromising on positioning performance and one optimizing the positioning performance for a given memory restriction. For a 12 mm high LYSO-block, we achieve an SR better than 1.4 mm FWHM.",2018,Z. Chen; X. Yang; C. Zhang; S. Jiang,411,421,11,9,10.1109/TRPMS.2018.2837738,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8360486,IEEE Journals,IEEE
Modeling Future Cost for Neural Machine Translation,Future cost;future cost representation;neural machine translation;transformer,"Existing neural machine translation (NMT) systems utilize sequence-to-sequence neural networks to generate target translation word by word, and then make the generated word at each time-step and the counterpart in the references as consistent as possible. However, the trained translation model tends to focus on ensuring the accuracy of the generated target word at the current time-step and does not consider its future cost which means the expected cost of generating the subsequent target translation (i.e., the next target word). To respond to this issue, in this article, we propose a simple and effective method to model the future cost of each target word for NMT systems. In detail, a future cost representation is learned based on the current generated target word and its contextual information to compute an additional loss to guide the training of the NMT model. Furthermore, the learned future cost representation at the current time-step is used to help the generation of the next target word in the decoding. Experimental results on three widely-used translation datasets, including the WMT14 English-to-German, WMT14 English-to-French, and WMT17 Chinese-to-English, show that the proposed approach achieves significant improvements over strong Transformer-based NMT baseline.",2021,A. Akl; B. Taati; A. Mihailidis,770,781,12,,10.1109/TASLP.2020.3042006,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9330773,IEEE Journals,IEEE
Automatic Testing and Improvement of Machine Translation,machine translation;testing and repair;translation consistency,"This paper presents TransRepair, a fully automatic approach for testing and repairing the consistency of machine translation systems. TransRepair combines mutation with metamorphic testing to detect inconsistency bugs (without access to human oracles). It then adopts probability-reference or cross-reference to post-process the translations, in a grey-box or black-box manner, to repair the inconsistencies. Our evaluation on two state-of-the-art translators, Google Translate and Transformer, indicates that TransRepair has a high precision (99%) on generating input pairs with consistent translations. With these tests, using automatic consistency metrics and manual assessment, we find that Google Translate and Transformer have approximately 36% and 40% inconsistency bugs. Black-box repair fixes 28% and 19% bugs on average for Google Translate and Transformer. Grey-box repair fixes 30% bugs on average for Transformer. Manual inspection indicates that the translations repaired by our approach improve consistency in 87% of cases (degrading it in 2%), and that our repairs have better translation acceptability in 27% of the cases (worse in 8%).",2020,A. Anguita; A. Beghelli; W. Creixell,974,985,12,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9284046,IEEE Conferences,IEEE
Towards More Diverse Input Representation for Neural Machine Translation,Neural machine translation;source features;diverse input representation,"Source input information plays a very important role in the Transformer-based translation system. In practice, word embedding and positional embedding of each word are added as the input representation. Then self-attention networks are used to encode the global dependencies in the input representation to generate a source representation. However, this processing on the source representation only adopts a single source feature and excludes richer and more diverse features such as recurrence features, local features, and syntactic features, which results in tedious representation and thereby hinders the further translation performance improvement. In this paper, we introduce a simple and efficient method to encode more diverse source features into the input representation simultaneously, and thereby learning an effective source representation by self-attention networks. In particular, the proposed grouped strategy is only applied to the input representation layer, to keep the diversity of translation information and the efficiency of the self-attention networks at the same time. Experimental results show that our approach improves the translation performance over the state-of-the-art baselines of Transformer in regard to WMT14 English-to-German and NIST Chinese-to-English machine translation tasks.",2020,A. Bodile; M. Kshirsagar,1586,1597,12,,10.1109/TASLP.2020.2996077,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9097389,IEEE Journals,IEEE
Incorporating Statistical Machine Translation Word Knowledge Into Neural Machine Translation,Neural machine translation;statistical machine translation;hybrid translation;translation combination,"Neural machine translation (NMT) has gained more and more attention in recent years, mainly due to its simplicity yet state-of-the-art performance. However, previous research has shown that NMT suffers from several limitations: source coverage guidance, translation of rare words, and the limited vocabulary, while statistical machine translation (SMT) has complementary properties that correspond well to these limitations. It is straightforward to improve the translation performance by combining the advantages of two kinds of models. This paper proposes a general framework for incorporating the SMT word knowledge into NMT to alleviate above word-level limitations. In our framework, the NMT decoder makes more accurate word prediction by referring to the SMT word recommendations in both training and testing phases. Specifically, the SMT model offers informative word recommendations based on the NMT decoding information. Then, we use the SMT word predictions as prior knowledge to adjust the NMT word generation probability, which unitizes a neural network based classifier to digest the discrete word knowledge. In this paper, we use two model variants to implement the framework, one with a gating mechanism and the other with a direct competition mechanism. Experimental results on Chinese-to-English and English-to-German translation tasks show that the proposed framework can take advantage of the SMT word knowledge and consistently achieve significant improvements over NMT and SMT baseline systems.",2018,A. C. M. Fong; M. Usman,2255,2266,12,6,10.1109/TASLP.2018.2860287,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8421063,IEEE Journals,IEEE
A Maximum-Entropy Segmentation Model for Statistical Machine Translation,Bracketing transduction grammar (BTG)-based phrasal machine translation;hierarchical segmentation;maximum entropy;phrasal segmentation;statistical machine translation (SMT),Segmentation is of great importance to statistical machine translation. It splits a source sentence into sequences of translatable segments. We propose a maximum-entropy segmentation model to capture desirable phrasal and hierarchical segmentations for statistical machine translation. We present an approach to automatically learning the beginning and ending boundaries of cohesive segments from word-aligned bilingual data without using any additional resources. The learned boundaries are then used to define cohesive segments in both phrasal and hierarchical segmentations. We integrate the segmentation model into phrasal statistical machine translation (SMT) and conduct experiments on the newswire and broadcast news domain to investigate the effectiveness of the proposed segmentation model on a large-scale training data. Our experimental results show that the maximum-entropy segmentation model significantly improves translation quality in terms of BLEU. We further validate that 1) the proposed segmentation model significantly outperforms syntactic constraints which are used in previous work to constrain segmentations; and 2) it is necessary to capture hierarchical segmentations besides phrasal segmentations.,2011,A. Emami; S. F. Chen,2494,2505,12,3,10.1109/TASL.2011.2144971,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5753927,IEEE Journals,IEEE
On the Evaluation of Adaptive Machine Translation for Human Post-Editing,Computer-assisted translation;domain adaptation;human in the loop evaluation;machine translation;online adaptation;post-editing,"We investigate adaptive machine translation (MT) as a way to reduce human workload and enhance user experience when professional translators operate in real-life conditions. A crucial aspect in our analysis is how to ensure a reliable assessment of MT technologies aimed to support human post-editing. We pay particular attention to two evaluation aspects: i) the design of a sound experimental protocol to reduce the risk of collecting biased measurements, and ii) the use of robust statistical testing methods (linear mixed-effects models) to reduce the risk of under/over-estimating the observed variations. Our adaptive MT technology is integrated in a web-based full-fledged computer-assisted translation (CAT) tool. We report on a post-editing field test that involved 16 professional translators working on two translation directions (English-Italian and English-French), with texts coming from two linguistic domains (legal, information technology). Our contrastive experiments compare user post-editing effort with static vs. adaptive MT in an end-to-end scenario where the system is evaluated as a whole. Our results evidence that adaptive MT leads to an overall reduction in post-editing effort (HTER) up to 10.6% (p <; 0.05). A follow-up manual evaluation of the MT outputs and their corresponding post-edits confirms that the gain in HTER corresponds to higher quality of the adaptive MT system and does not come at the expense of the final human translation quality. Indeed, adaptive MT shows to return better suggestions than static MT (p <; 0.01), and the resulting post-edits do not significantly differ in the two conditions.",2016,C. Wang; S. Wang; M. Bao; Arong,388,399,12,6,10.1109/TASLP.2015.2509241,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7358024,IEEE Journals,IEEE
Multi-Source Neural Machine Translation With Missing Data,Neural machine translation (NMT);multi-linguality;data augmentation,"Machine translation is rife with ambiguities in word ordering and word choice, and even with the advent of machine-learning methods that learn to resolve this ambiguity based on statistics from large corpora, mistakes are frequent. Multi-source translation is an approach that attempts to resolve these ambiguities by exploiting multiple inputs (e.g. sentences in three different languages) to increase translation accuracy. These methods are trained on multilingual corpora, which include the multiple source languages and the target language, and then at test time uses information from both source languages while generating the target. While there are many of these multilingual corpora, such as multilingual translations of TED talks or European parliament proceedings, in practice, many multilingual corpora are not complete due to the difficulty to provide translations in all of the relevant languages. Existing studies on multi-source translation did not explicitly handle such situations, and thus are only applicable to complete corpora that have all of the languages of interest, severely limiting their practical applicability. In this article, we examine approaches for multi-source neural machine translation (NMT) that can learn from and translate such incomplete corpora. Specifically, we propose methods to deal with incomplete corpora at both training time and test time. For training time, we examine two methods: (1) a simple method that simply replaces missing source translations with a special NULL symbol, and (2) a data augmentation approach that fills in incomplete parts with source translations created from multi-source NMT. For test-time, we examine methods that use multi-source translation even when only a single source is provided by first translating into an additional auxiliary language using standard NMT, then using multi-source translation on the original source and this generated auxiliary language sentence. Extensive experiments demonstrate that the proposed training-time and test-time methods both significantly improve translation performance.",2020,C. Wei-Gang; C. Huang; W. Hwang,569,580,12,,10.1109/TASLP.2019.2959224,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8930957,IEEE Journals,IEEE
Bilingual Continuous-Space Language Model Growing for Statistical Machine Translation,Continuous-space language model;language model growing (LMG);neural network language model;statistical machine translation (SMT),"Larger n-gram language models (LMs) perform better in statistical machine translation (SMT). However, the existing approaches have two main drawbacks for constructing larger LMs: 1) it is not convenient to obtain larger corpora in the same domain as the bilingual parallel corpora in SMT; 2) most of the previous studies focus on monolingual information from the target corpora only, and redundant n-grams have not been fully utilized in SMT. Nowadays, continuous-space language model (CSLM), especially neural network language model (NNLM), has been shown great improvement in the estimation accuracies of the probabilities for predicting the target words. However, most of these CSLM and NNLM approaches still consider monolingual information only or require additional corpus. In this paper, we propose a novel neural network based bilingual LM growing method. Compared to the existing approaches, the proposed method enables us to use bilingual parallel corpus for LM growing in SMT. The results show that our new method outperforms the existing approaches on both SMT performance and computational efficiency significantly.",2015,C. Xue,1209,1220,12,19,10.1109/TASLP.2015.2425220,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7090970,IEEE Journals,IEEE
Optimizing Instance Selection for Statistical Machine Translation with Feature Decay Algorithms,Domain adaptation;information retrieval;instance selection;machine translation;transductive learning,"We introduce FDA5 for efficient parameterization, optimization, and implementation of feature decay algorithms (FDA), a class of instance selection algorithms that use feature decay. FDA increase the diversity of the selected training set by devaluing features (i.e., n-grams) that have already been included. FDA5 decides which instances to select based on three functions used for initializing and decaying feature values and scaling sentence scores controlled with five parameters. We present optimization techniques that allow FDA5 to adapt these functions to in-domain and out-of-domain translation tasks for different language pairs. In a transductive learning setting, selection of training instances relevant to the test set can improve the final translation quality. In machine translation experiments performed on the 2 million sentence English-German section of the Europarl corpus, we show that a subset of the training set selected by FDA5 can gain up to 3.22 BLEU points compared to a randomly selected subset of the same size, can gain up to 0.41 BLEU points compared to using all of the available training data using only 15% of it, and can reach within 0.5 BLEU points to the full training set result by using only 2.7% of the full training data. FDA5 peaks at around 8M words or 15% of the full training set. In an active learning setting, FDA5 minimizes the human effort by identifying the most informative sentences for translation and FDA gains up to 0.45 BLEU points using 3/5 of the available training data compared to using all of it and 1.12 BLEU points compared to random training set. In translation tasks involving English and Turkish, a morphologically rich language, FDA5 can gain up to 11.52 BLEU points compared to a randomly selected subset of the same size, can achieve the same BLEU score using as little as 4% of the data compared to random instance selection, and can exceed the full dataset result by 0.78 BLEU points. FDA5 is able to reduce the time to build a statistical machine translation system to about half with 1M words using only 3% of the space for the phrase table and 8% of the overall space when compared with a baseline system using all of the training data available yet still obtain only 0.58 BLEU points difference with the baseline system in out-of-domain translation.",2015,D. Ionescu,339,350,12,8,10.1109/TASLP.2014.2381882,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6987314,IEEE Journals,IEEE
Effect of Word Sense Disambiguation on Neural Machine Translation: A Case Study in Korean,Lexical semantic network;neural machine translation;word sense disambiguation,"With the advent of robust deep learning, neural machine translation (NMT) has achieved great progress and recently become the dominant paradigm in machine translation (MT). However, it is still confronted with the challenge of word ambiguities that force NMT to choose among several translation candidates that represent different senses of an input word. This research presents a case study using Korean word sense disambiguation (WSD) to improve NMT performance. First, we constructed a Korean lexical semantic network (LSN) as a large-scale lexical semantic knowledge base. Then, based on the Korean LSN, we built a Korean WSD preprocessor that can annotate the correct sense of Korean words in the training corpus. Finally, we conducted a series of translation experiments using Korean-English, Korean-French, Korean-Spanish, and Korean-Japanese language pairs. The experimental results show that our Korean WSD system can significantly improve the translation quality of NMT in terms of the BLEU, TER, and DLRATIO metrics. On average, it improved the precision by 2.94 BLEU points and improved translation error prevention by 4.04 TER points and 4.51 DLRATIO points for all the language pairs.",2018,D. Kostadinov; S. Bogdanova,38512,38523,12,4,10.1109/ACCESS.2018.2851281,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8399736,IEEE Journals,IEEE
Searching Better Architectures for Neural Machine Translation,Neural architecture search (NAS);neural machine translation,"Neural architecture search (NAS) has played important roles in the evolution of neural architectures. However, no much attention has been paid to improve neural machine translation (NMT) through NAS approaches. In this work, we propose a gradient-based NAS algorithm for NMT, which automatically discovers architectures with better performances. Compared with previous NAS work, we jointly search the network operations (e.g., LSTM, CNN, self-attention etc) as well as dropout rates to ensure better results. We show that with reasonable resources it is possible to discover novel neural network architectures for NMT, which achieve consistently better performances than Transformer [1], the state-of-the-art NMT model, across different tasks. On WMT'14 English-to-German translation, IWSLT'14 German-to-English translation and WMT'18 Finnish-to-English translation tasks, our discovered architectures could obtain 30.1, 36.1 and 26.4 BLEU scores, which are great improvement over Transformer baselines. We also empirically verify that the discovered model on one task can be transferred to other tasks.",2020,D. Liu; N. Ma; F. Yang; X. Yang,1574,1585,12,2,10.1109/TASLP.2020.2995270,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9095246,IEEE Journals,IEEE
Multimodal Neural Machine Translation With Weakly Labeled Images,Human–computer interaction;multi-layer neural network;natural language processing;image classification;multimodal neural machine translation;weak label,"Machine translation refers to a fully automated process that translates a user's input text into a target language. To improve the accuracy of machine translation, studies usually exploit not only the input text itself but also various background knowledge related to the text, such as visual information or prior knowledge. Herein, in this paper, we propose a multimodal neural machine translation system that uses both texts and their related images to translate Korean image captions into English. The data in the experiment is a set of unlabeled images only containing bilingual captions. To train the system with a supervised learning approach, we propose a weak-labeling method that selects a keyword from an image caption using feature selection methods. The keywords are used to roughly determine an image label. We also introduce an improved feature selection method using sentence clustering to select keywords that reflect the characteristics of the image captions more accurately. We found that our multimodal system achieves an improved performance compared to a text-only neural machine translation system (baseline). Furthermore, the additional images have positive impacts on addressing the issue of under-translation, where some words in a source sentence are falsely translated or not translated at all.",2019,D. M. Salih; S. B. M. Noor; M. H. Marhaban; R. M. K. R. Ahmad,54042,54053,12,3,10.1109/ACCESS.2019.2911656,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8692345,IEEE Journals,IEEE
Neural-Machine-Translation-Based Commit Message Generation: How Far Are We?,Commit message generation;Nearest neighbor algorithm;Neural machine translation,"Commit messages can be regarded as the documentation of software changes. These messages describe the content and purposes of changes, hence are useful for program comprehension and software maintenance. However, due to the lack of time and direct motivation, commit messages sometimes are neglected by developers. To address this problem, Jiang et al. proposed an approach (we refer to it as NMT), which leverages a neural machine translation algorithm to automatically generate short commit messages from code. The reported performance of their approach is promising, however, they did not explore why their approach performs well. Thus, in this paper, we first perform an in-depth analysis of their experimental results. We find that (1) Most of the test diffs from which NMT can generate high-quality messages are similar to one or more training diffs at the token level. (2) About 16% of the commit messages in Jiang et al.'s dataset are noisy due to being automatically generated or due to them describing repetitive trivial changes. (3) The performance of NMT declines by a large amount after removing such noisy commit messages. In addition, NMT is complicated and time-consuming. Inspired by our first finding, we proposed a simpler and faster approach, named NNGen (Nearest Neighbor Generator), to generate concise commit messages using the nearest neighbor algorithm. Our experimental results show that NNGen is over 2,600 times faster than NMT, and outperforms NMT in terms of BLEU (an accuracy measure that is widely used to evaluate machine translation systems) by 21%. Finally, we also discuss some observations for the road ahead for automated commit message generation to inspire other researchers.",2018,E. Matusov; H. Ney,373,384,12,9,10.1145/3238147.3238190,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9000000,IEEE Conferences,IEEE
Efficient Methods for Mapping Neural Machine Translator on FPGAs,Hardware-efficient inference;neural machine translation;FPGA;high level synthesis,"Neural machine translation (NMT) is one of the most critical applications in natural language processing (NLP) with the main idea of converting text in one language to another using deep neural networks. In recent year, we have seen continuous development of NMT by integrating more emerging technologies, such as bidirectional gated recurrent units (GRU), attention mechanisms, and beam-search algorithms, for improved translation quality. However, with the increasing problem size, the real-life NMT models have become much more complicated and difficult to implement on hardware for acceleration opportunities. In this article, we aim to exploit the capability of FPGAs to deliver highly efficient implementations for real-life NMT applications. We map the inference of a large-scale NMT model with total computation of 172 GFLOP to a highly optimized high-level synthesis (HLS) IP and integrate the IP into Xilinx VCU118 FPGA platform. The model has widely used key features for NMTs, including the bidirectional GRU layer, attention mechanism, and beam search. We quantize the model to mixed-precision representation in which parameters and portions of calculations are in 16-bit half precision, and others remain as 32-bit floating-point. Compared to the float NMT implementation on FPGA, we achieve 13.1× speedup with an end-to-end performance of 22.0 GFLOPS without any accuracy degradation. Based on our knowledge, this is the first work that successfully implements a real-life end-to-end NMT model to an FPGA on board.",2021,E. Saquete; P. Martinez-Barco; R. Munoz,1866,1877,12,,10.1109/TPDS.2020.3047371,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9309170,IEEE Journals,IEEE
Improving Statistical Machine Translation Using Bayesian Word Alignment and Gibbs Sampling,Bayesian methods;Gibbs sampling;statistical machine translation (SMT);word alignment,"We present a Bayesian approach to word alignment inference in IBM Models 1 and 2. In the original approach, word translation probabilities (i.e., model parameters) are estimated using the expectation-maximization (EM) algorithm. In the proposed approach, they are random variables with a prior and are integrated out during inference. We use Gibbs sampling to infer the word alignment posteriors. The inferred word alignments are compared against EM and variational Bayes (VB) inference in terms of their end-to-end translation performance on several language pairs and types of corpora up to 15 million sentence pairs. We show that Bayesian inference outperforms both EM and VB in the majority of test cases. Further analysis reveals that the proposed method effectively addresses the high-fertility rare word problem in EM and unaligned rare word problem in VB, achieves higher agreement and vocabulary coverage rates than both, and leads to smaller phrase tables.",2013,G. Shuo; Z. Yi-sheng,1090,1101,12,4,10.1109/TASL.2013.2244087,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6425427,IEEE Journals,IEEE
Attention With Sparsity Regularization for Neural Machine Translation and Summarization,Sequence to sequence learning;attention mechanism;sparsity regularization;machine translation;summarization,"The attention mechanism has become the de facto standard component in neural sequence to sequence tasks, such as machine translation and abstractive summarization. It dynamically determines which parts in the input sentence should be focused on when generating each word in the output sequence. Ideally, only few relevant input words should be attended to at each decoding time step and the attention weight distribution should be sparse and sharp. However, previous methods have no good mechanism to control this attention weight distribution. In this paper, we propose a sparse attention model in which a sparsity regularization term is designed to augment the objective function. We explore two kinds of regularizations: $L_{\infty }$-norm regularization and minimum entropy regularization, both of which aim to sharpen the attention weight distribution. Extensive experiments on both neural machine translation and abstractive summarization demonstrate that our proposed sparse attention model can substantially outperform the strong baselines. And the detailed analyses reveal that the final attention distribution indeed becomes sparse and sharp.",2019,Gong Zhengxian; Zhou Guodong,507,518,12,3,10.1109/TASLP.2018.2883740,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8550728,IEEE Journals,IEEE
