Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Domain-specific machine translation with recurrent neural network for software localization","Empirical Software Engineering","","24","6","10.1007/s10664-019-09702-z","Xu WangChunyang ChenZhenchang Xing","2019","http://link.springer.com/article/10.1007/s10664-019-09702-z","Article"
"C-SHALT: English-to-Chinese Machine Translation Using Argument Structures","Natural Language Processing: The PLNLP Approach","","","","10.1007/978-1-4615-3170-8_18","Ee Ah ChooKoh Mui KoongLow Hwee BoonTong Loong CheongWan Kwee NgimWee Li Kwang","1993","http://link.springer.com/chapter/10.1007/978-1-4615-3170-8_18","Chapter"
"ATEC: automatic evaluation of machine translation via word choice and word order","Machine Translation","","23","2 - 3","10.1007/s10590-009-9061-x","Billy WongChunyu Kit","2009","http://link.springer.com/article/10.1007/s10590-009-9061-x","Article"
"English–Mizo Machine Translation using neural and statistical approaches","Neural Computing and Applications","","31","11","10.1007/s00521-018-3601-3","Amarnath PathakPartha PakrayJereemi Bentham","2019","http://link.springer.com/article/10.1007/s00521-018-3601-3","Article"
"OpenLogos machine translation: philosophy, model, resources and customization","Machine Translation","","25","2","10.1007/s10590-011-9091-z","Anabela BarreiroBernard ScottWalter KasperBernd Kiefer","2011","http://link.springer.com/article/10.1007/s10590-011-9091-z","Article"
"A linguistically motivated taxonomy for Machine Translation error analysis","Machine Translation","","29","2","10.1007/s10590-015-9169-0","Ângela CostaWang LingTiago LuísRui CorreiaLuísa Coheur","2015","http://link.springer.com/article/10.1007/s10590-015-9169-0","Article"
"Interlingua Machine Translation","Translation Engines: Techniques for Machine Translation","","","","10.1007/978-1-4471-0587-9_7","Arturo Trujillo BSc, MPhil PhD","1999","http://link.springer.com/chapter/10.1007/978-1-4471-0587-9_7","Chapter"
"Machine Translation Evaluation and Optimization","Handbook of Natural Language Processing and Machine Translation","","","","10.1007/978-1-4419-7713-7_5","Bonnie DorrJoseph OliveJohn McCaryCaitlin Christianson","2011","http://link.springer.com/chapter/10.1007/978-1-4419-7713-7_5","Chapter"
"Exeter at CLEF 2001: Experiments with Machine Translation for Bilingual Retrieval","Evaluation of Cross-Language Information Retrieval Systems","","","","10.1007/3-540-45691-0_5","Gareth J. F. JonesAdenike M. Lam-Adesina","2002","http://link.springer.com/chapter/10.1007/3-540-45691-0_5","Chapter"
"Named entity translation method based on machine translation lexicon","Neural Computing and Applications","","","","10.1007/s00521-020-05509-y","Panpan LiMengxiang WangJian Wang","2020","http://link.springer.com/article/10.1007/s00521-020-05509-y","Article"
"A comparison of segmentation methods and extended lexicon models for Arabic statistical machine translation","Machine Translation","","26","1 - 2","10.1007/s10590-011-9102-0","Saša HasanSaab MansourHermann Ney","2012","http://link.springer.com/article/10.1007/s10590-011-9102-0","Article"
"Target-Text Mediated Interactive Machine Translation","Machine Translation","","12","1 - 2","10.1023/A:1007999327580","George FosterPierre IsabellePierre Plamondon","1997","http://link.springer.com/article/10.1023/A%3A1007999327580","Article"
"Analysis, preparation, and optimization of statistical sign language machine translation","Machine Translation","","26","4","10.1007/s10590-012-9125-1","Daniel SteinChristoph SchmidtHermann Ney","2012","http://link.springer.com/article/10.1007/s10590-012-9125-1","Article"
"Phrasal Equivalence Classes for Generalized Corpus-Based Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-19437-5_2","Rashmi GangadharaiahRalf D. BrownJaime Carbonell","2011","http://link.springer.com/chapter/10.1007/978-3-642-19437-5_2","Chapter"
"Exploiting Parallel Treebanks to Improve Phrase-Based Statistical Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-00382-0_26","John TinsleyMary HearneAndy Way","2009","http://link.springer.com/chapter/10.1007/978-3-642-00382-0_26","Chapter"
"Linguistic measures for automatic machine translation evaluation","Machine Translation","","24","3 - 4","10.1007/s10590-011-9088-7","Jesús GiménezLluís Màrquez","2010","http://link.springer.com/article/10.1007/s10590-011-9088-7","Article"
"Recognizing and Reordering the Translation Units in a Long NP for Chinese-English Patent Machine Translation","Machine Translation","","","","10.1007/978-3-662-45701-6_4","Xiaodie LiuYun ZhuYaohong Jin","2014","http://link.springer.com/chapter/10.1007/978-3-662-45701-6_4","Chapter"
"Semi-supervised Learning for Neural Machine Translation","Joint Training for Neural Machine Translation","","","","10.1007/978-981-32-9748-7_3","Yong Cheng","2019","http://link.springer.com/chapter/10.1007/978-981-32-9748-7_3","Chapter"
"Machine Translation Based on Constraint-Based Synchronous Grammar","Natural Language Processing – IJCNLP 2005","","","","10.1007/11562214_54","Fai WongDong-Cheng HuYu-Hang MaoMing-Chui DongYi-Ping Li","2005","http://link.springer.com/chapter/10.1007/11562214_54","Chapter"
"Stochastic Finite-State Models for Spoken Language Machine Translation","Machine Translation","","17","3","10.1023/B:COAT.0000010804.12581.96","Srinivas BangaloreGiuseppe Riccardi","2002","http://link.springer.com/article/10.1023/B%3ACOAT.0000010804.12581.96","Article"
"A hybrid machine translation architecture guided by syntax","Machine Translation","","28","2","10.1007/s10590-014-9153-0","Gorka LabakaCristina España-BonetLluís MàrquezKepa Sarasola","2014","http://link.springer.com/article/10.1007/s10590-014-9153-0","Article"
"Syntactic discriminative language model rerankers for statistical machine translation","Machine Translation","","25","4","10.1007/s10590-011-9108-7","Simon CarterChristof Monz","2011","http://link.springer.com/article/10.1007/s10590-011-9108-7","Article"
"Survey of data-selection methods in statistical machine translation","Machine Translation","","29","3 - 4","10.1007/s10590-015-9176-1","Sauleh EetemadiWilliam LewisKristina ToutanovaHayder Radha","2015","http://link.springer.com/article/10.1007/s10590-015-9176-1","Article"
"Enhanced Back-Translation for Low Resource Neural Machine Translation Using Self-training","Information and Communication Technology and Applications","","","","10.1007/978-3-030-69143-1_28","Idris AbdulmuminBashir Shehu GaladanciAbubakar Isa","2021","http://link.springer.com/chapter/10.1007/978-3-030-69143-1_28","Chapter"
"Interactive Machine Translation","Multimodal Interactive Pattern Recognition and Applications","","","","10.1007/978-0-85729-479-1_6","Dr. Alejandro Héctor ToselliDr. Enrique VidalProf. Francisco Casacuberta","2011","http://link.springer.com/chapter/10.1007/978-0-85729-479-1_6","Chapter"
"A product and process analysis of post-editor corrections on neural, statistical and rule-based machine translation output","Machine Translation","","33","1 - 2","10.1007/s10590-019-09228-7","Maarit KoponenLeena SalmiMarkku Nikulin","2019","http://link.springer.com/article/10.1007/s10590-019-09228-7","Article"
"YuQ: A Chinese-Uyghur Medical-Domain Neural Machine Translation Dataset Towards Knowledge-Driven","Machine Translation","","","","10.1007/978-981-33-6162-1_4","Qing YuZhe LiJiabao ShengJing SunWushour Slamu","2020","http://link.springer.com/chapter/10.1007/978-981-33-6162-1_4","Chapter"
"A Machine Translation System from English to American Sign Language","Envisioning Machine Translation in the Information Future","","","","10.1007/3-540-39965-8_6","Liwei ZhaoKarin KipperWilliam SchulerChristian VoglerNorman BadlerMartha Palmer","2000","http://link.springer.com/chapter/10.1007/3-540-39965-8_6","Chapter"
"Good applications for crummy machine translation","Machine Translation","","8","4","10.1007/BF00981759","Kenneth W. ChurchEduard H. Hovy","1993","http://link.springer.com/article/10.1007/BF00981759","Article"
"Joint Modeling for Bidirectional Neural Machine Translation with Contrastive Learning","Joint Training for Neural Machine Translation","","","","10.1007/978-981-32-9748-7_5","Yong Cheng","2019","http://link.springer.com/chapter/10.1007/978-981-32-9748-7_5","Chapter"
"A Novel Machine Translation Method for Learning Chinese as a Foreign Language","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-54903-8_29","Tiansi DongArmin B. Cremers","2014","http://link.springer.com/chapter/10.1007/978-3-642-54903-8_29","Chapter"
"Parameterizing lexical conceptual structure for interlingual machine translation","Machine Translation","","11","4","10.1007/BF00387396","Douglas Arnold","1996","http://link.springer.com/article/10.1007/BF00387396","Article"
"Substring-based machine translation","Machine Translation","","27","2","10.1007/s10590-013-9136-6","Graham NeubigTaro WatanabeShinsuke MoriTatsuya Kawahara","2013","http://link.springer.com/article/10.1007/s10590-013-9136-6","Article"
"The use of lexical semantics in interlingual machine translation","Machine Translation","","7","3","10.1007/BF00402510","Bonnie J. Dorr","1992","http://link.springer.com/article/10.1007/BF00402510","Article"
"SPIDER: A System for Paraphrasing in Document Editing and Revision — Applicability in Machine Translation Pre-editing","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-19437-5_30","Anabela Barreiro","2011","http://link.springer.com/chapter/10.1007/978-3-642-19437-5_30","Chapter"
"Statistical Machine Translation into a Morphologically Complex Language","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-540-78135-6_32","Kemal Oflazer","2008","http://link.springer.com/chapter/10.1007/978-3-540-78135-6_32","Chapter"
"The NIST 2008 Metrics for machine translation challenge—overview, methodology, metrics, and results","Machine Translation","","23","2 - 3","10.1007/s10590-009-9065-6","Mark PrzybockiKay PetersonSébastien BronsartGregory Sanders","2009","http://link.springer.com/article/10.1007/s10590-009-9065-6","Article"
"Online adaptation to post-edits for phrase-based statistical machine translation","Machine Translation","","28","3 - 4","10.1007/s10590-014-9159-7","Nicola BertoldiPatrick SimianerMauro CettoloKatharina WäschleMarcello FedericoStefan Riezler","2014","http://link.springer.com/article/10.1007/s10590-014-9159-7","Article"
"N-gram posterior probability confidence measures for statistical machine translation: an empirical study","Machine Translation","","27","2","10.1007/s10590-012-9132-2","Adrià de GispertGraeme BlackwoodGonzalo IglesiasWilliam Byrne","2013","http://link.springer.com/article/10.1007/s10590-012-9132-2","Article"
"English-Arabic Statistical Machine Translation: State of the Art","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-18111-0_39","Sara EbrahimDoaa HegazyMostafa G. M. MostafaSamhaa R. El-Beltagy","2015","http://link.springer.com/chapter/10.1007/978-3-319-18111-0_39","Chapter"
"An Empirical Study on Word Segmentation for Chinese Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-37256-8_21","Hai ZhaoMasao UtiyamaEiichiro SumitaBao-Liang Lu","2013","http://link.springer.com/chapter/10.1007/978-3-642-37256-8_21","Chapter"
"The CMU-EBMT machine translation system","Machine Translation","","25","2","10.1007/s10590-011-9095-8","Ralf D. Brown","2011","http://link.springer.com/article/10.1007/s10590-011-9095-8","Article"
"Minimum Bayes’ risk subsequence combination for machine translation","Pattern Analysis and Applications","","18","3","10.1007/s10044-014-0387-5","Jesús González-RubioFrancisco Casacuberta","2015","http://link.springer.com/article/10.1007/s10044-014-0387-5","Article"
"Reversible Grammars and their Application in Machine Translation","Reversible Grammar in Natural Language Processing","","","","10.1007/978-1-4615-2722-0_12","Dominique Estival","1994","http://link.springer.com/chapter/10.1007/978-1-4615-2722-0_12","Chapter"
"Analysing the Impact of Interactive Machine Translation on Post-editing Effort","New Directions in Empirical Translation Process Research","","","","10.1007/978-3-319-20358-4_4","Fabio AlvesArlene KoglinBartolomé Mesa-LaoMercedes García MartínezNorma B. de Lima FonsecaArthur de Melo SáJosé Luiz GonçalvesKarina Sarto SzpakKyoko SekinoMarceli Aquino","2016","http://link.springer.com/chapter/10.1007/978-3-319-20358-4_4","Chapter"
"Statistical Methods for Machine Translation","Verbmobil: Foundations of Speech-to-Speech Translation","","","","10.1007/978-3-662-04230-4_27","Stephan VogelFranz Josef OchChristof TillmannSonja NießenHassan SawafHermann Ney","2000","http://link.springer.com/chapter/10.1007/978-3-662-04230-4_27","Chapter"
"A Substitution-Translation-Restoration Framework for Handling Unknown Words in Statistical Machine Translation","Journal of Computer Science and Technology","","28","5","10.1007/s11390-013-1386-5","Jia-Jun ZhangFei-Fei ZhaiCheng-Qing Zong","2013","http://link.springer.com/article/10.1007/s11390-013-1386-5","Article"
"Combining translation memories and statistical machine translation using sparse features","Machine Translation","","30","3 - 4","10.1007/s10590-016-9187-6","Liangyou LiCarla Parra EscartínAndy WayQun Liu","2016","http://link.springer.com/article/10.1007/s10590-016-9187-6","Article"
"Twisted Pair Grammar: Support for Rapid Development of Machine Translation for Low Density Languages","Machine Translation and the Information Soup","","","","10.1007/3-540-49478-2_29","Douglas JonesRick Havrilla","1998","http://link.springer.com/chapter/10.1007/3-540-49478-2_29","Chapter"
"Evaluating machine translation with LFG dependencies","Machine Translation","","21","2","10.1007/s10590-008-9038-1","Karolina OwczarzakJosef van GenabithAndy Way","2007","http://link.springer.com/article/10.1007/s10590-008-9038-1","Article"
"Neutralizing the Effect of Translation Shifts on Automatic Machine Translation Evaluation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-319-18111-0_45","Marina FomichevaNúria BelIria da Cunha","2015","http://link.springer.com/chapter/10.1007/978-3-319-18111-0_45","Chapter"
"Modeling Persian Verb Morphology to Improve English-Persian Machine Translation","Advances in Artificial Intelligence and Its Applications","","","","10.1007/978-3-642-45114-0_33","Alireza MahmoudiHeshaam FailiMohsen Arabsorkhi","2013","http://link.springer.com/chapter/10.1007/978-3-642-45114-0_33","Chapter"
"A survey of domain adaptation for statistical machine translation","Machine Translation","","31","4","10.1007/s10590-018-9216-8","Hoang CuongKhalil Sima’an","2017","http://link.springer.com/article/10.1007/s10590-018-9216-8","Article"
"Description and Findings of OPPO’s Machine Translation Systems for CCMT 2020","Machine Translation","","","","10.1007/978-981-33-6162-1_8","Tingxun ShiQian ZhangXiaoxue WangXiaopu LiZhengshan XueJie Hao","2020","http://link.springer.com/chapter/10.1007/978-981-33-6162-1_8","Chapter"
"Assessing gender bias in machine translation: a case study with Google Translate","Neural Computing and Applications","","32","10","10.1007/s00521-019-04144-6","Marcelo O. R. PratesPedro H. AvelarLuís C. Lamb","2020","http://link.springer.com/article/10.1007/s00521-019-04144-6","Article"
"Design of a Prolog-based machine translation system","Third International Conference on Logic Programming","","","","10.1007/3-540-16492-8_87","Michael C. McCord","1986","http://link.springer.com/chapter/10.1007/3-540-16492-8_87","Chapter"
"Lexical choice in text generation and machine translation","Machine Translation","","11","1 - 3","10.1007/BF00349352","Leo Wanner","1996","http://link.springer.com/article/10.1007/BF00349352","Article"
"A Methodology for Evaluating Arabic Machine Translation Systems","Machine Translation","","18","4","10.1007/s10590-005-2412-3","Ahmed GuessoumRached Zantout","2004","http://link.springer.com/article/10.1007/s10590-005-2412-3","Article"
"Zero-resource machine translation by multimodal encoder–decoder network with multimedia pivot","Machine Translation","","31","1 - 2","10.1007/s10590-017-9197-z","Hideki NakayamaNoriki Nishida","2017","http://link.springer.com/article/10.1007/s10590-017-9197-z","Article"
"A simple and practical method for evaluating machine translation quality","Machine Translation","","9","2","10.1007/BF00986325","Stephen Minnis","1994","http://link.springer.com/article/10.1007/BF00986325","Article"
"Statistical Machine Translation","Natural Language Processing of Semitic Languages","","","","10.1007/978-3-642-45358-8_6","Hany HassanKareem Darwish","2014","http://link.springer.com/chapter/10.1007/978-3-642-45358-8_6","Chapter"
"Improving phrase-based statistical machine translation with morphosyntactic transformation","Machine Translation","","20","3","10.1007/s10590-007-9022-1","Thai Phuong NguyenAkira Shimazu","2006","http://link.springer.com/article/10.1007/s10590-007-9022-1","Article"
"An optimized cognitive-assisted machine translation approach for natural language processing","Computing","","102","3","10.1007/s00607-019-00741-4","Abdulaziz AlarifiAyed Alwadain","2020","http://link.springer.com/article/10.1007/s00607-019-00741-4","Article"
"A Sanskrit-to-English machine translation using hybridization of direct and rule-based approach","Neural Computing and Applications","","","","10.1007/s00521-020-05156-3","SitenderSeema Bawa","2020","http://link.springer.com/article/10.1007/s00521-020-05156-3","Article"
"Enhancing Multilingual Biomedical Terminologies via Machine Translation from Parallel Corpora","Natural Language Processing and Information Systems","","","","10.1007/978-3-319-07983-7_2","Johannes HellrichUdo Hahn","2014","http://link.springer.com/chapter/10.1007/978-3-319-07983-7_2","Chapter"
"Bilingual LSA-based adaptation for statistical machine translation","Machine Translation","","21","4","10.1007/s10590-008-9045-2","Yik-Cheung TamIan LaneTanja Schultz","2007","http://link.springer.com/article/10.1007/s10590-008-9045-2","Article"
"Dimensionality reduction methods for machine translation quality estimation","Machine Translation","","27","3 - 4","10.1007/s10590-013-9139-3","Jesús González-RubioJ. Ramón Navarro-CerdánFrancisco Casacuberta","2013","http://link.springer.com/article/10.1007/s10590-013-9139-3","Article"
"Addressing data sparsity for neural machine translation between morphologically rich languages","Machine Translation","","34","1","10.1007/s10590-019-09242-9","Mercedes García-MartínezWalid AransaFethi BougaresLoïc Barrault","2020","http://link.springer.com/article/10.1007/s10590-019-09242-9","Article"
"Automatically generated parallel treebanks and their exploitability in machine translation","Machine Translation","","23","1","10.1007/s10590-009-9068-3","John TinsleyAndy Way","2009","http://link.springer.com/article/10.1007/s10590-009-9068-3","Article"
"Resolution of ambiguity in Chinese and its application to machine translation","Machine Translation","","6","4","10.1007/BF00417653","Chao-Huang ChangGilbert K. Krulee","1991","http://link.springer.com/article/10.1007/BF00417653","Article"
"Has There Been a Revolution in Machine Translation?","Machine Translation","","16","1","10.1023/A:1013140921280","Pius Ten Hacken","2001","http://link.springer.com/article/10.1023/A%3A1013140921280","Article"
"Towards a Dynamic Linkage of Example-based and Rule-based Machine Translation","Machine Translation","","15","3","10.1023/A:1011663225529","Michael CarlCathrine PeaseLeonid L. IomdinOliver Streiter","2000","http://link.springer.com/article/10.1023/A%3A1011663225529","Article"
"Evaluation of the impact of controlled language on neural machine translation compared to other MT architectures","Machine Translation","","33","1 - 2","10.1007/s10590-019-09233-w","Shaimaa MarzoukSilvia Hansen-Schirra","2019","http://link.springer.com/article/10.1007/s10590-019-09233-w","Article"
"A Methodology for a Semi-Automatic Evaluation of the Lexicons of Machine Translation Systems","Machine Translation","","16","2","10.1023/A:1014504808954","Ahmed GuessoumRached Zantout","2001","http://link.springer.com/article/10.1023/A%3A1014504808954","Article"
"Analysis of the Impact of Machine Translation Evaluation Metrics for Semantic Textual Similarity","AI*IA 2016 Advances in Artificial Intelligence","","","","10.1007/978-3-319-49130-1_33","Simone MagnoliniNgoc Phuoc An VoOctavian Popescu","2016","http://link.springer.com/chapter/10.1007/978-3-319-49130-1_33","Chapter"
"Integrating source-language context into phrase-based statistical machine translation","Machine Translation","","25","3","10.1007/s10590-011-9100-2","Rejwanul HaqueSudip Kumar NaskarAntal van den BoschAndy Way","2011","http://link.springer.com/article/10.1007/s10590-011-9100-2","Article"
"Broad-Coverage Machine Translation","Natural Language Processing: The PLNLP Approach","","","","10.1007/978-1-4615-3170-8_9","Diana Santos","1993","http://link.springer.com/chapter/10.1007/978-1-4615-3170-8_9","Chapter"
"Towards an open platform for machine translation of spoken languages into sign languages","Machine Translation","","33","4","10.1007/s10590-019-09238-5","Rostand E. O. CostaTiago M. U. de AraújoManuella A. C. B. LimaVinícius M. VeríssimoRenan S. de AndradeSuanny F. VieiraAlexandre SantosGuido L. Souza FilhoMarília K. SoaresVitor Hanael","2019","http://link.springer.com/article/10.1007/s10590-019-09238-5","Article"
"All Your Data Are Belong to us
              
                
              
            . European Perspectives on Privacy Issues in ‘Free’ Online Machine Translation Services","Privacy and Identity Management. Time for a Revolution?","","","","10.1007/978-3-319-41763-9_18","Paweł KamockiJim O’ReganMarc Stauch","2016","http://link.springer.com/chapter/10.1007/978-3-319-41763-9_18","Chapter"
"Symbolic-to-statistical hybridization: extending generation-heavy machine translation","Machine Translation","","23","1","10.1007/s10590-009-9056-7","Nizar HabashBonnie DorrChristof Monz","2009","http://link.springer.com/article/10.1007/s10590-009-9056-7","Article"
"What types of word alignment improve statistical machine translation?","Machine Translation","","26","4","10.1007/s10590-012-9123-3","Patrik LambertSimon PetitrenaudYanjun MaAndy Way","2012","http://link.springer.com/article/10.1007/s10590-012-9123-3","Article"
"Current research in Machine Translation","Machine Translation","","7","4","10.1007/BF00398467","Harold L. Somers","1992","http://link.springer.com/article/10.1007/BF00398467","Article"
"Generative lexicon principles for machine translation: A case for meta-lexical structure","Machine Translation","","9","3 - 4","10.1007/BF00980577","Sabine Bergler","1994","http://link.springer.com/article/10.1007/BF00980577","Article"
"Maximum-entropy word alignment and posterior-based phrase extraction for machine translation","Machine Translation","","28","1","10.1007/s10590-013-9146-4","Nadi TomehAlexandre AllauzenFrançois Yvon","2014","http://link.springer.com/article/10.1007/s10590-013-9146-4","Article"
"Improving neural machine translation for low-resource Indian languages using rule-based feature extraction","Neural Computing and Applications","","33","4","10.1007/s00521-020-04990-9","Muskaan SinghRavinder KumarInderveer Chana","2021","http://link.springer.com/article/10.1007/s00521-020-04990-9","Article"
"Factored bilingual n-gram language models for statistical machine translation","Machine Translation","","24","2","10.1007/s10590-010-9082-5","Josep M. CregoFrançois Yvon","2010","http://link.springer.com/article/10.1007/s10590-010-9082-5","Article"
"Dual Learning for Machine Translation and Beyond","Dual Learning","","","","10.1007/978-981-15-8884-6_4","Tao Qin","2020","http://link.springer.com/chapter/10.1007/978-981-15-8884-6_4","Chapter"
"Arabic machine translation: a survey","Artificial Intelligence Review","","42","4","10.1007/s10462-012-9351-1","Arwa AlqudsiNazlia OmarKhalid Shaker","2014","http://link.springer.com/article/10.1007/s10462-012-9351-1","Article"
"Learning local word reorderings for hierarchical phrase-based statistical machine translation","Machine Translation","","30","1 - 2","10.1007/s10590-016-9178-7","Jingyi ZhangMasao UtiyamaEiichro SumitaHai ZhaoGraham NeubigSatoshi Nakamura","2016","http://link.springer.com/article/10.1007/s10590-016-9178-7","Article"
"Semantic analysis in XTRA, an English — Chinese machine translation system","Computers and translation","","3","2","10.1007/BF02055234","Xiuming Huang","1988","http://link.springer.com/article/10.1007/BF02055234","Article"
"Relational-grammar-based generation in the JETS Japanese-English machine translation system","Machine Translation","","6","1","10.1007/BF00570614","David E. JohnsonHideo Watanabe","1991","http://link.springer.com/article/10.1007/BF00570614","Article"
"Towards a Lexicographic Approach to Lexical Transfer in Machine Translation (Illustrated by the German–Russian Language Pair)","Machine Translation","","16","1","10.1023/A:1013136005350","Igor MelčukLeo Wanner","2001","http://link.springer.com/article/10.1023/A%3A1013136005350","Article"
"Methods for integrating rule-based and statistical systems for Arabic to English machine translation","Machine Translation","","26","1 - 2","10.1007/s10590-011-9106-9","Rabih ZbibMichael KayserSpyros MatsoukasJohn MakhoulHazem NaderHamdy SolimanRami Safadi","2012","http://link.springer.com/article/10.1007/s10590-011-9106-9","Article"
"Construction of a Chinese–English Verb Lexicon for Machine Translation and Embedded Multilingual Applications","Machine Translation","","17","2","10.1023/B:COAT.0000010116.83274.c3","Bonnie Jean DorrGina-Anne LevowDekang Lin","2002","http://link.springer.com/article/10.1023/B%3ACOAT.0000010116.83274.c3","Article"
"Incremental Learning of Transfer Rules for Customized Machine Translation","Applications of Declarative Programming and Knowledge Management","","","","10.1007/11415763_4","Werner Winiwarter","2005","http://link.springer.com/chapter/10.1007/11415763_4","Chapter"
"Document-Specific Statistical Machine Translation for Improving Human Translation Productivity","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-28601-8_3","Salim RoukosAbraham IttycheriahJian-Ming Xu","2012","http://link.springer.com/chapter/10.1007/978-3-642-28601-8_3","Chapter"
"An error analysis for image-based multi-modal neural machine translation","Machine Translation","","33","1 - 2","10.1007/s10590-019-09226-9","Iacer CalixtoQun Liu","2019","http://link.springer.com/article/10.1007/s10590-019-09226-9","Article"
"Hybrid Machine Translation Overview","Hybrid Approaches to Machine Translation","","","","10.1007/978-3-319-21311-8_1","Cristina España-BonetMarta R. Costa-jussà","2016","http://link.springer.com/chapter/10.1007/978-3-319-21311-8_1","Chapter"
"Standardizing Tweets with Character-Level Machine Translation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-54903-8_14","Nikola LjubešićTomaž ErjavecDarja Fišer","2014","http://link.springer.com/chapter/10.1007/978-3-642-54903-8_14","Chapter"
"Semantic Inference for Anaphora Resolution: Toward a Framework in Machine Translation","Machine Translation","","14","3 - 4","10.1023/A:1011138323599","Samuel W. K. ChanBenjamin K. T'sou","1999","http://link.springer.com/article/10.1023/A%3A1011138323599","Article"
"Machine Translation Quality Estimation: Applications and Future Perspectives","Translation Quality Assessment","","","","10.1007/978-3-319-91241-7_10","Lucia SpeciaKashif Shah","2018","http://link.springer.com/chapter/10.1007/978-3-319-91241-7_10","Chapter"
"Object Recognition as Machine Translation: Learning a Lexicon for a Fixed Image Vocabulary","Computer Vision — ECCV 2002","","","","10.1007/3-540-47979-1_7","P. DuyguluK. BarnardJ. F. G. de FreitasD. A. Forsyth","2002","http://link.springer.com/chapter/10.1007/3-540-47979-1_7","Chapter"
"Neural machine translation for low-resource languages without parallel corpora","Machine Translation","","32","1 - 2","10.1007/s10590-017-9203-5","Alina KarakantaJon DehdariJosef van Genabith","2018","http://link.springer.com/article/10.1007/s10590-017-9203-5","Article"
"Indices of cognitive effort in machine translation post-editing","Machine Translation","","28","3 - 4","10.1007/s10590-014-9156-x","Lucas Nunes Vieira","2014","http://link.springer.com/article/10.1007/s10590-014-9156-x","Article"
"Similarity-aware neural machine translation: reducing human translator efforts by leveraging high-potential sentences with translation memory","Neural Computing and Applications","","32","23","10.1007/s00521-020-04939-y","Tianfu ZhangHeyan HuangChong FengXiaochi Wei","2020","http://link.springer.com/article/10.1007/s00521-020-04939-y","Article"
"Matxin, an open-source rule-based machine translation system for Basque","Machine Translation","","25","1","10.1007/s10590-011-9092-y","Aingeru MayorIñaki AlegriaArantza Díaz de IlarrazaGorka LabakaMikel LersundiKepa Sarasola","2011","http://link.springer.com/article/10.1007/s10590-011-9092-y","Article"
"Dependency treelet translation: the convergence of statistical and example-based machine-translation?","Machine Translation","","20","1","10.1007/s10590-006-9008-4","Christopher QuirkArul Menezes","2006","http://link.springer.com/article/10.1007/s10590-006-9008-4","Article"
"Review Article: Example-based Machine Translation","Machine Translation","","14","2","10.1023/A:1008109312730","Harold Somers","1999","http://link.springer.com/article/10.1023/A%3A1008109312730","Article"
"Improved Arabic-to-English statistical machine translation by reordering post-verbal subjects for word alignment","Machine Translation","","26","1 - 2","10.1007/s10590-011-9112-y","Marine CarpuatYuval MartonNizar Habash","2012","http://link.springer.com/article/10.1007/s10590-011-9112-y","Article"
"What Level of Quality Can Neural Machine Translation Attain on Literary Text?","Translation Quality Assessment","","","","10.1007/978-3-319-91241-7_12","Antonio ToralAndy Way","2018","http://link.springer.com/chapter/10.1007/978-3-319-91241-7_12","Chapter"
"Multimodal machine translation through visuals and speech","Machine Translation","","34","2 - 3","10.1007/s10590-020-09250-0","Umut SulubacakOzan CaglayanStig-Arne GrönroosAku RouheDesmond ElliottLucia SpeciaJörg Tiedemann","2020","http://link.springer.com/article/10.1007/s10590-020-09250-0","Article"
"Semi-supervised model adaptation for statistical machine translation","Machine Translation","","21","2","10.1007/s10590-008-9036-3","Nicola UeffingGholamreza HaffariAnoop Sarkar","2007","http://link.springer.com/article/10.1007/s10590-008-9036-3","Article"
"Discriminative ridge regression algorithm for adaptation in statistical machine translation","Pattern Analysis and Applications","","22","4","10.1007/s10044-018-0720-5","Mara Chinea-RiosGermán Sanchis-TrillesFrancisco Casacuberta","2019","http://link.springer.com/article/10.1007/s10044-018-0720-5","Article"
"Quality estimation for machine translation: some lessons learned","Machine Translation","","27","3 - 4","10.1007/s10590-013-9141-9","Guillaume WisniewskiAnil Kumar SinghFrançois Yvon","2013","http://link.springer.com/article/10.1007/s10590-013-9141-9","Article"
"Evaluation of Arabic Machine Translation System Based on the Universal Networking Language","Natural Language Processing and Information Systems","","","","10.1007/978-3-642-12550-8_20","Noha AdlySameh Al Ansary","2010","http://link.springer.com/chapter/10.1007/978-3-642-12550-8_20","Chapter"
"A conjoint analysis framework for evaluating user preferences in machine translation","Machine Translation","","28","1","10.1007/s10590-013-9140-x","Katrin KirchhoffDaniel CapurroAnne M. Turner","2014","http://link.springer.com/article/10.1007/s10590-013-9140-x","Article"
