Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Ruiz N., Federico M.","57140013100;7101629493;","Complexity of spoken versus written language for machine translation",2014,"Proceedings of the 17th Annual Conference of the European Association for Machine Translation, EAMT 2014",,,,"173","180",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000399097&partnerID=40&md5=8c84104faca8ad6beb179b588e7b734f","University of Trento, Fondazione Bruno Kessler, Trento, Italy; Fondazione Bruno Kessler, Trento, Italy","Ruiz, N., University of Trento, Fondazione Bruno Kessler, Trento, Italy; Federico, M., Fondazione Bruno Kessler, Trento, Italy","When machine translation researchers participate in evaluation tasks, they typically design their primary submissions using ideas that are not genre-specific. In fact, their systems look much the same from one evaluation campaign to another. In this paper, we analyze two popular genres: spoken language and written news, using publicly available corpora which stem from the popular WMT and IWSLT evaluation campaigns. We show that there is a sufficient amount of difference between the two genres that particular statistical modeling strategies should be applied to each task. We identify translation problems that are unique to each translation task and advise researchers of these phenomena to focus their efforts on the particular task. © 2014 The authors.",,"Computational linguistics; Computer aided language translation; Machine translations; Spoken languages; Statistical modeling; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-85000399097
"Toral A., Rubino R., Esplà-Gomis M., Pirinen T., Way A., Ramírez-Sánchez G.","8839393900;37007663100;55358256700;36629343300;16023406600;14036118200;","Extrinsic evaluation of web-crawlers in machine translation: A case study on Croatian-English for the tourism domain",2014,"Proceedings of the 17th Annual Conference of the European Association for Machine Translation, EAMT 2014",,,,"221","224",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000386351&partnerID=40&md5=1a31ea5f90d36359c256bbb5118d8662","NCLT, School of Computing, Dublin City University, Ireland; Prompsit Language Engineering, S.L., Elche, Spain; Dep. Llenguatges i Sistemes Informàtics, Universitat d'Alacant, Spain","Toral, A., NCLT, School of Computing, Dublin City University, Ireland; Rubino, R., Prompsit Language Engineering, S.L., Elche, Spain; Esplà-Gomis, M., Dep. Llenguatges i Sistemes Informàtics, Universitat d'Alacant, Spain; Pirinen, T., NCLT, School of Computing, Dublin City University, Ireland; Way, A., NCLT, School of Computing, Dublin City University, Ireland; Ramírez-Sánchez, G., Prompsit Language Engineering, S.L., Elche, Spain","We present an extrinsic evaluation of crawlers of parallel corpora from multilingual web sites in machine translation (MT). Our case study is on Croatian to English translation in the tourism domain. Given two crawlers, we build phrase-based statistical MT systems on the datasets produced by each crawler using different settings. We also combine the best datasets produced by each crawler (union and intersection) to build additional MT systems. Finally we combine the best of the previous systems (union) with general-domain data. This last system outperforms all the previous systems built on crawled data as well as two baselines (a system built on general-domain data and a well known online MT system). © 2014 The authors.",,"Computer aided language translation; Online systems; Croatians; Machine translations; Multilingual Web sites; Parallel corpora; Web crawlers; Computational linguistics",Conference Paper,"Final","",Scopus,2-s2.0-85000386351
"Guha J., Heger C.","57191837490;57156407900;","Machine translation for global e-commerce on eBay",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","2",,,"31","37",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994141289&partnerID=40&md5=932bd7ba9f9ebdbe6c82c7c27c167ec6","EBay Inc., 2065 Hamilton Avenue, San Jose, CA  95125, United States","Guha, J., EBay Inc., 2065 Hamilton Avenue, San Jose, CA  95125, United States; Heger, C., EBay Inc., 2065 Hamilton Avenue, San Jose, CA  95125, United States","This paper describes the application of machine translation in overcoming language barriers for global e-commerce at eBay. We look at how buyers are provided the ability to perform cross-lingual search by translation of their search queries into the language of the listed items. We also show the process of translating item titles and descriptions from the inventory language into the user's preferred language. We briefly discuss the role of translation in facilitating communication between buyers and sellers. In addition, we highlight the merits of evaluating translation quality together with system performance, which for search favors position-invariant metrics over more widely used translation metrics. Finally, we show how we incorporate user behavior and conversion metrics as part of our system evaluation methodology. © 2014 The Authors.",,"Behavioral research; Commerce; Computational linguistics; Computer aided language translation; Electronic commerce; Buyers and sellers; Global e commerces; Language barriers; Machine translations; Search queries; System evaluation; Translation quality; User behaviors; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-84994141289
"Thicke L.","36057688900;","Machine translation is not one size fits all",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","2",,,"80","104",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994135572&partnerID=40&md5=89659474fa9312a941cf625e5d6d7fe2",,"Thicke, L.",[No abstract available],,,Conference Paper,"Final","",Scopus,2-s2.0-84994135572
"O'Curran E.","57191838468;","Machine translation and post-editing for user generated content: An LSP perspective",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","2",,,"50","54",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994128659&partnerID=40&md5=627b15177ebfbad30b4b5dee1e97d6a7","Welocalize Inc., 6 Dundee Park, Andover, MA  01810, United States","O'Curran, E., Welocalize Inc., 6 Dundee Park, Andover, MA  01810, United States","User Generated Content (UGC) is a new and exciting content type for Langauge Service providers (LSP) and it poses its own distinctive challenges for a machine translation workflow: GC requires more pre-editing steps than any other content type we process with MT and it demands non-traditional approaches to post-editing, resourcing and quality evaluations. We discuss the most common quality level requirements that we have observed in our work with UGC and ways to achieve them using specific post-editing methodologies for this content type. We will also touch on the subjects of resource selection, our experience around MT engine evaluations and customization for this content type and the importance of using the appropriate evaluation method for different use cases. © 2014 The Authors.",,"Computational linguistics; Computer aided language translation; Machine translations; Non-traditional approach; Quality evaluation; Quality levels; Resource selection; Service provider; User generated content (UGC); User-generated content; Quality control",Conference Paper,"Final","",Scopus,2-s2.0-84994128659
"Picinini S.","57191847951;","Challenges of machine translation for user generated content - Queries from Brazilian users",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","2",,,"55","65",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994102267&partnerID=40&md5=2b802266740efdcb6f800138d5133f48",,"Picinini, S.","Users of eBay in Brazil enter their queries in their native language, Brazilian Portuguese. Those queries must be translated into English to search the vast inventory of products available on Ebay. Given the volume and variety of queries, typical for user generated content, make this scenario a prime use case for Machine Translation. This presentation shows the findings in user generated queries that are challenging for the MT engine to translate correctly. © 2014 The Authors.",,"Computational linguistics; Machine translations; Native language; User-generated; User-generated content; Computer aided language translation",Conference Paper,"Final","",Scopus,2-s2.0-84994102267
"Vasiļjevs A., Kalniņš R., Pinnis M., Skadiņš R.","36603725200;57191745918;36603189200;36603450800;","Machine translation for e-Government - the Baltic case",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","2",,,"181","193",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994099186&partnerID=40&md5=898807e93cdbaad4b0e2f135d5008cfc","Tilde, Riga, LV-1004, Latvia","Vasiļjevs, A., Tilde, Riga, LV-1004, Latvia; Kalniņš, R., Tilde, Riga, LV-1004, Latvia; Pinnis, M., Tilde, Riga, LV-1004, Latvia; Skadiņš, R., Tilde, Riga, LV-1004, Latvia","This paper presents a case study about the development of MT systems for two Baltic governments. The governments of Latvia and Lithuania presented Tilde with a need to expand their communication to reach multilingual citizens. In order to meet this need, Tilde collected a vast amount of domain-specific data and trained MT system to produce high-quality translation. In the process, Tilde identified and overcame the challenges of a lack of parallel corporate for the given domain and language pairs. In this paper, we discuss how the systems were integrated into several facilities: a public online interface, website translator, webpage widgets, and mobile apps. We will detail how these facilities allow for the MT system to be used in various applications, including document translation, website translation, and integration into e-services. As a result of MT application, the public sector can not only make its services more universally acceptable, but also improve the flow of information to and from citizens. © 2014 The Authors.",,"Computational linguistics; Government data processing; Online systems; Websites; Document translation; Domain specific; E-governments; ITS Services; Language pairs; Machine translations; Online interface; Public sector; Computer aided language translation",Conference Paper,"Final","",Scopus,2-s2.0-84994099186
[No author name available],[No author id available],"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","2",,,"","",583,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84993485035&partnerID=40&md5=90c1b00fad7ac0cc3b821e7eed96b8a1",,"",[No abstract available],,,Conference Review,"Final","",Scopus,2-s2.0-84993485035
"Yang S., Yu H., Zhao H., Liu Q., Iü Y.","56440338400;56440391600;55715785200;56181387900;57191665499;","Review and analysis of China workshop on machine translation 2013 evaluation",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","1",,,"208","221",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992409508&partnerID=40&md5=60bef8fbc1f9d3e85b9dd9f0a9e5f8bb","Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, China; University of Chinese Academy of Sciences, China; CNGL, School of Computing, Dublin City University, Ireland","Yang, S., Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, China, University of Chinese Academy of Sciences, China; Yu, H., Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, China; Zhao, H., Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, China; Liu, Q., Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, China, CNGL, School of Computing, Dublin City University, Ireland; Iü, Y., Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, China","This paper gives a general review and detailed analysis of China Workshop on Machine Translation (CWMT) Evaluation. Compared with the past CWMT evaluation campaigns, CWMT2013 evaluation is characterized as follows: first, adopting gray-box evaluation which makes the results more replicable and controllable; second, adding one rule-based system as a counterpart; third, carrying out manual evaluations on some specific tasks to give a more comprehensive analysis of the translation errors. Boosted by those new features, our analysis and case study on the evaluation results shows the pros and cons of both rule-based and statistical systems, and reveals some interesting correlations bewteen automatic and manual evaluation metrics on different translation systems. © The Authors.",,"Computational linguistics; Comprehensive analysis; Evaluation metrics; Evaluation results; On-machines; Rule based; Specific tasks; Statistical systems; Translation systems; Computer aided language translation",Conference Paper,"Final","",Scopus,2-s2.0-84992409508
[No author name available],[No author id available],"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","1",,,"","",583,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992402768&partnerID=40&md5=b025c67230013208431e9426dc144f08",,"",[No abstract available],,,Conference Review,"Final","",Scopus,2-s2.0-84992402768
"Mathur P., Cettolo M., Federico M., De Souza J.G.C.","57155866900;6602149944;7101629493;52863378200;","Online multi-user adaptive statistical machine translation",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","1",,,"152","165",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992397246&partnerID=40&md5=87b7f65ea47dfcb6e67db93772c573b7","FBK Trento, Italy; DISI, University of Trento, Italy","Mathur, P., FBK Trento, Italy, DISI, University of Trento, Italy; Cettolo, M., FBK Trento, Italy; Federico, M., FBK Trento, Italy; De Souza, J.G.C., FBK Trento, Italy, DISI, University of Trento, Italy","In this paper we investigate the problem of adapting a machine translation system to the feedback provided by multiple post-editors. It is well know that translators might have very different post-editing styles and that this variability hinders the application of online learning methods, which indeed assume a homogeneous source of adaptation data. We hence propose multi-task learning to leverage bias information from each single post-editors in order to constrain the evolution of the SMT system. A new framework for significance testing with sentence level metrics is described which shows that Multi-Task learning approaches outperforms existing online learning approaches, with significant gains of 1.24 and 1.88 TER score over a strong online adaptive baseline, on a test set of post-edits produced by four translators texts and on a popular benchmark with multiple references, respectively. © The Authors.",,"Computational linguistics; Computer aided language translation; Learning systems; Machine translation systems; Multiple references; Multitask learning; On-line learning methods; Online learning; Sentence level; Significance testing; Statistical machine translation; E-learning",Conference Paper,"Final","",Scopus,2-s2.0-84992397246
"Mansour S., Al-Onaizan Y., Blackwood G., Tillmann C.","57155949600;6507221995;35239447800;6602541235;","Automatic dialect classification for statistical machine translation",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","1",,,"342","355",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992395815&partnerID=40&md5=d5b38913132ed5276d08ac36df8106e0","Aachen University, Aachen, Germany; IBM T.J. Watson Research Center, Yorktown Heights, NY, United States","Mansour, S., Aachen University, Aachen, Germany; Al-Onaizan, Y., IBM T.J. Watson Research Center, Yorktown Heights, NY, United States; Blackwood, G., IBM T.J. Watson Research Center, Yorktown Heights, NY, United States; Tillmann, C., IBM T.J. Watson Research Center, Yorktown Heights, NY, United States","The training data for statistical machine translation are gathered from various sources representing a mixture of domains. In this work, we argue that when translating dialects representing varieties of the same language, a manually assigned data source is not a reliable indicator of the dialect. We resort to automatic dialect classification to refine the training corpora according to the different dialects and build improved dialect specific systems. A fairly standard classifier for Arabic developed within this work achieves state-of-the-art performance, with classification precision above 90%, making it usefully accurate for our application. The classification of the data is then used to distinguish between the different dialects, split the data accordingly, and utilize the new splits for several adaptation techniques. Performing translation experiments on a large scale dialectal Arabic to English translation task, our results show that the classifier generates better contrast between the dialects and achieves superior translation quality than using the original manual corpora splits. © The Authors.",,"Computational linguistics; Linguistics; Adaptation techniques; Classification precision; Dialectal arabics; State-of-the-art performance; Statistical machine translation; Superior translations; Training corpus; Training data; Computer aided language translation",Conference Paper,"Final","",Scopus,2-s2.0-84992395815
"Ortega J.E., Sáanchez-Martínez F., Forcada M.L.","57191658116;8711165500;6603811993;","Using any machine translation source for fuzzy-match repair in a computer-aided translation setting",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","1",,,"42","53",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992390874&partnerID=40&md5=caeb3b51967aa225a23fa33bc29f8d49","Dept. de Llenguatges i Sistemes Informáatics, Universitat D'Alacant, Alacant, E-03071, Spain","Ortega, J.E., Dept. de Llenguatges i Sistemes Informáatics, Universitat D'Alacant, Alacant, E-03071, Spain; Sáanchez-Martínez, F., Dept. de Llenguatges i Sistemes Informáatics, Universitat D'Alacant, Alacant, E-03071, Spain; Forcada, M.L., Dept. de Llenguatges i Sistemes Informáatics, Universitat D'Alacant, Alacant, E-03071, Spain","When a computer-assisted translation (CAT) tool does not find an exact match for the source segment to translate in its translation memory (TM), translators must use fuzzy matches that come from translation units in the translation memory that do not completely match the source segment. We explore the use of a fuzzy-match repair technique called patching to repair translation proposals from a TM in a CAT environment using any available machine translation system, or any external bilingual source, regardless of its internals. Patching attempts to aid CAT tool users by repairing fuzzy matches and proposing improved translations. Our results show that patching improves the quality of translation proposals and reduces the amount of edit operations to perform, especially when a specific set of restrictions is applied. © The Authors.",,"Computational linguistics; Repair; Computer assisted; Computer-aided translations; Fuzzy match; Machine translation systems; Machine translations; Repair techniques; Translation memory; Translation unit; Computer aided language translation",Conference Paper,"Final","",Scopus,2-s2.0-84992390874
"Niehues J., Allauzen A., Yvon F., Waibel A.","57140416400;6504759853;6602849628;35575129700;","Combining techniques from different NN-based language models for machine translation",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","1",,,"222","233",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992371966&partnerID=40&md5=7c2cfa0f3bd25d874d0c4dbe6e4c51a8","Karlsruhe Insitute of Technology, Karlsruhe, Germany; Université Paris-Sud XI, LIMSI-CNRS, Orsay, France","Niehues, J., Karlsruhe Insitute of Technology, Karlsruhe, Germany; Allauzen, A., Université Paris-Sud XI, LIMSI-CNRS, Orsay, France; Yvon, F., Université Paris-Sud XI, LIMSI-CNRS, Orsay, France; Waibel, A., Karlsruhe Insitute of Technology, Karlsruhe, Germany","This paper presents two improvements of language models based on Restricted Boltzmann Machine (RBM) for large machine translation tasks. In contrast to other continuous space approach, RBM based models can easily be integrated into the decoder and are able to directly learn a hidden representation of the n-gram. Previous work on RBM-based language models do not use a shared word representation and therefore, they might suffer of a lack of generalization for larger contexts. Moreover, since the training step is very time consuming, they are only used for quite small copora. In this work we add a shared word representation for the RBMbased language model by factorizing the weight matrix. In addition, we propose an efficient and tailored sampling algorithm that allows us to drastically speed up the training process. Experiments are carried out on two German to English translation tasks and the results show that the training time could be reduced by a factor of 10 without any drop in performance. Furthermore, the RBM-based model can also be trained on large size corpora. © The Authors.",,"Computational linguistics; Computer aided language translation; Combining techniques; Continuous spaces; Machine translations; Restricted boltzmann machine; Sampling algorithm; Training process; Weight matrices; Word representations; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-84992371966
"Cettolo M., Bertoldi N., Federico M.","6602149944;6603660388;7101629493;","The repetition rate of text as a predictor of the effectiveness of machine translation adaptation",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","1",,,"166","179",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992342809&partnerID=40&md5=d9cec840beb7cc1885fd5b33752bd717","FBK, Fondazione Bruno Kessler, Povo, Trento, 38123, Italy","Cettolo, M., FBK, Fondazione Bruno Kessler, Povo, Trento, 38123, Italy; Bertoldi, N., FBK, Fondazione Bruno Kessler, Povo, Trento, 38123, Italy; Federico, M., FBK, Fondazione Bruno Kessler, Povo, Trento, 38123, Italy","Since the effectiveness of MT adaptation relies on the text repetitiveness, the question on how to measure repetitions in a text naturally arises. This work deals with the issue of looking for and evaluating text features that might help the prediction of the impact of MT adaptation on translation quality. In particular, the repetition rate metric, we recently proposed, is compared to other features employed in very related NLP tasks. The comparison is carried out through a regression analysis between feature values and MT performance gains by dynamically adapted versus non-adapted MT engines, on five different translation tasks. The main outcome of experiments is that the repetition rate correlates better than any other considered feature with the MT gains yielded by the online adaptation, although using all features jointly results in better predictions than with any single feature. © The Authors.",,"Computational linguistics; Regression analysis; Feature values; Machine translations; On-line adaptation; Performance Gain; Repetition rate; Text feature; Translation quality; Computer aided language translation",Conference Paper,"Final","",Scopus,2-s2.0-84992342809
"Guo J., Liu J., Han Q., Maletti A.","55634058900;35240662400;56437203600;8220258100;","A tunable language model for statistical machine translation",2014,"Proceedings of the 11th Conference of the Association for Machine Translation in the Americas, AMTA 2014","1",,,"356","368",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992323159&partnerID=40&md5=dfd6bfa7b69137e02858ca7c7b4642e1","School of Computer, Wuhan University, China; Institute for Natural Language Processing, University of Stuttgart, Germany; Institute for Visualization and Interactive Systems, University of Stuttgart, Germany; Institute of Computer Science, University of Leipzig, Germany","Guo, J., School of Computer, Wuhan University, China, Institute for Natural Language Processing, University of Stuttgart, Germany; Liu, J., School of Computer, Wuhan University, China; Han, Q., Institute for Visualization and Interactive Systems, University of Stuttgart, Germany; Maletti, A., Institute for Natural Language Processing, University of Stuttgart, Germany, Institute of Computer Science, University of Leipzig, Germany","A novel variation of modified KNESER-NEY model using monomial discounting is presented and integrated into the MOSES statistical machine translation toolkit. The language model is trained on a large training set as usual, but its new discount parameters are tuned to the small development set. An in-domain and cross-domain evaluation of the language model is performed based on perplexity, in which sizable improvements are obtained. Additionally, the performance of the language model is also evaluated in several major machine translation tasks including Chinese-to-English. In those tests, the test data is from a (slightly) different domain than the training data. The experimental results indicate that the new model significantly outperforms a baseline model using SRILM in those domain adaptation scenarios. The new language model is thus ideally suited for domain adaptation without sacrificing performance on in-domain experiments. © The Authors.",,"Computational linguistics; Computer aided language translation; Linguistics; Baseline models; Cross-domain evaluations; Different domains; Domain adaptation; Language model; Machine translations; Statistical machine translation; Training data; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-84992323159
"Munkova D., Munk M.","55351182400;27567929200;","An automatic evaluation of machine translation and Slavic languages",2014,"8th IEEE International Conference on Application of Information and Communication Technologies, AICT 2014 - Conference Proceedings",,, 7035992,"","",,9,"10.1109/ICAICT.2014.7035992","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988299716&doi=10.1109%2fICAICT.2014.7035992&partnerID=40&md5=80fd3156228563374e0fd91d4ae7f4ea","Department of Translation Studies, Constantine the Philosopher University in Nitra, Nitra, Slovakia; Department of Informatics, Constantine the Philosopher University in Nitra, Nitra, Slovakia","Munkova, D., Department of Translation Studies, Constantine the Philosopher University in Nitra, Nitra, Slovakia; Munk, M., Department of Informatics, Constantine the Philosopher University in Nitra, Nitra, Slovakia","Evaluation plays a crucial role in the field of machine translation. The aim of our research was to assess the quality - reliability and validity - of automatic evaluation of machine translation, and in our case an on-line statistical machine translation system was used. The results of the reliability analysis showed that the chosen metrics of automatic evaluation are reliable and valid, whereby the validity and reliability were verified for the following language pairs: Slovak-English and Slovak-German.","Machine translation; Metrics of automatic evaluation; MT evaluation; Slavic languages","Computational linguistics; Computer aided language translation; Reliability; Reliability analysis; Translation (languages); Automatic evaluation; Language pairs; Machine translations; MT evaluations; Quality reliability; Slavic languages; Statistical machine translation system; Quality control",Conference Paper,"Final","",Scopus,2-s2.0-84988299716
"Nocon N., Oco N., Ilao J., Roxas R.E.","56771487200;55843564600;55817587400;24464547600;","Philippine component of the network-based ASEAN language translation public service",2014,"2014 International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment and Management, HNICEM 2014 - 7th HNICEM 2014 Joint with 6th International Symposium on Computational Intelligence and Intelligent Informatics, co-located with 10th ERDT Conference",,, 7016264,"","",,4,"10.1109/HNICEM.2014.7016264","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988287294&doi=10.1109%2fHNICEM.2014.7016264&partnerID=40&md5=03ea8a187b7d2e84cb6871edc4636dac","De la Salle University, Philippines; National University, Philippines","Nocon, N., De la Salle University, Philippines; Oco, N., National University, Philippines; Ilao, J., De la Salle University, Philippines; Roxas, R.E., National University, Philippines","Communication between different nations is essential. Languages which are foreign to another impose difficulty in understanding. For this problem to be resolved, options are limited to learning the language, having a dictionary as a guide, or making use of a translator. This paper discusses the development of ASEANMT-Phil, a phrase-based statistical machine translator, to be utilized as a tool beneficial for assisting ASEAN countries. The data used for training and testing came from Wikipedia articles comprising of 124,979 and 1,000 sentence pairs, respectively. ASEANMT-Phil was experimented on different settings producing the BLEU score of 32.71 for Filipino-English and 31.15 for English-Filipino. Future Directions for the translator includes the following: improvement of data through changing or adding the domain or size; implementing an additional approach; and utilizing a larger dictionary to the approach. © 2014 IEEE.","ASEAN integration; Moses; Network-based ASEAN Language Translation Public Service; statistical machine translation","Artificial intelligence; Computational linguistics; Environmental management; Information science; Nanotechnology; Bleu scores; Language translation; Moses; Network-based; Public services; Statistical machine translation; Training and testing; Wikipedia articles; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-84988287294
"Liu J., Zhang D., Jin Y.","57191247712;57191241722;36634339800;","Identification of reordering mark 'de' in Chinese-English patent machine translation",2014,"CCIS 2014 - Proceedings of 2014 IEEE 3rd International Conference on Cloud Computing and Intelligence Systems",,, 7175755,"336","340",,,"10.1109/CCIS.2014.7175755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988286486&doi=10.1109%2fCCIS.2014.7175755&partnerID=40&md5=f71628a7aaad22265fe9533b58d34440","Institute of Chinese Information Processing, Beijing Normal University, Beijing, 100875, China","Liu, J., Institute of Chinese Information Processing, Beijing Normal University, Beijing, 100875, China; Zhang, D., Institute of Chinese Information Processing, Beijing Normal University, Beijing, 100875, China; Jin, Y., Institute of Chinese Information Processing, Beijing Normal University, Beijing, 100875, China","(DE) (DE for short) is a ubiquitous character in Chinese, used for a wide range of modified construction. Chinese modifier and core connected by a reordering mark DE need to reorder when translated into English. As very flexible it becomes a major source of error in Chinese-English patent machine translation. Therefore the correct identification of reordering mark DE is very important for improving the translation performance. In this paper, basing on HNC theory we classify reordering mark DEs into two kinds and label them as MD1 and MD2. This paper presents a method based on semantic analysis of DE to exclude those DEs that will not cause modifier and core reordering when translated into English, then identifies the reordering mark MD1 and MD2. After integrating into a patent machine translation the result shows that our method can achieve accuracies 92.62% and 91.07%. © 2014 IEEE.","Machine translation; Patent; Reordering","Cloud computing; Computation theory; Computational linguistics; Computer aided language translation; Patents and inventions; Semantics; Hnc theories; Machine translations; Patent; Patent machine translations; Reordering; Semantic analysis; Distributed computer systems",Conference Paper,"Final","",Scopus,2-s2.0-84988286486
"Bekbulatov E., Kartbayev A.","57191242695;56875410200;","A study of certain morphological structures of Kazakh and their impact on the machine translation quality",2014,"8th IEEE International Conference on Application of Information and Communication Technologies, AICT 2014 - Conference Proceedings",,, 7036013,"","",,4,"10.1109/ICAICT.2014.7036013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988281677&doi=10.1109%2fICAICT.2014.7036013&partnerID=40&md5=98f77856e9a7d81340c42bfa7bb89cef","Laboratory of Intelligent Information Systems, Al-Farabi Kazakh National University, Almaty, Kazakhstan","Bekbulatov, E., Laboratory of Intelligent Information Systems, Al-Farabi Kazakh National University, Almaty, Kazakhstan; Kartbayev, A., Laboratory of Intelligent Information Systems, Al-Farabi Kazakh National University, Almaty, Kazakhstan","This paper describes a morphological analysis of the Kazakh language for Kazakh-English statistical machine translation through changing the compound words of Kazakh language, and explores the effect of using the modified input on translation quality with a large number of training sentences. Word alignment problem would become more serious for translation from morphologically rich language such as Kazakh to morphologically simple one such as English, due to the problem of data sparseness on translation word forms in many different morphological variants. We present our investigations on unsupervised Kazakh morphological segmentation over newspaper corpus and compare unsupervised segmentation against rule-based language processing tools. In our experiments, the results show that our proposed method can improve word alignment and translation quality.","Computational linguistics; Kazakh morphology; Machine translation; Word segmentation","Computational linguistics; Computer aided language translation; Linguistics; Machine translations; Morphological analysis; Morphological segmentation; Morphological structures; Morphological variants; Statistical machine translation; Unsupervised segmentation; Word segmentation; Translation (languages)",Conference Paper,"Final","",Scopus,2-s2.0-84988281677
"Alsaket A.J., Ab Aziz M.J.","57191168407;36089651800;","Arabic-malay machine translation using rule-based approach",2014,"Journal of Computer Science","10","6",,"1062","1068",,2,"10.3844/jcssp.2014.1062.1068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987704723&doi=10.3844%2fjcssp.2014.1062.1068&partnerID=40&md5=d9ab70c0c9570519014daf482525026e","Faculty of Information Science And Technology, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia","Alsaket, A.J., Faculty of Information Science And Technology, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia; Ab Aziz, M.J., Faculty of Information Science And Technology, Universiti Kebangsaan Malaysia, Bangi, Selangor, Malaysia","Arabic machine translation has been taking place in machine translation projects in recent years. This study concentrates on the translation of Arabic text to its equivalent in Malay language. The problem of this research is the syntactic and morphological differences between Arabic and Malay adjective sentences. The main aim of this study is to design and develop Arabic-Malay machine translation model. First, we analyze the adjective role in the Arabic and Malay languages. Based on this analysis, we identify the transfer bilingual rules form source language to target language so that the translation of source language to target language can be performed by computers successfully. Then, we build and implement a machine translation prototype called AMTS to translate from Arabic to Malay based on rule based approach. The system is evaluated on set of simple Arabic sentences. The techniques used to evaluate the correctness of the system translation are the BLEU metric algorithm and the human judgment. The results of the BLEU algorithm show that the AMTS system performs better than Google in the translation of Arabic sentences into Malay. In addition, the average accuracy given by human judges is 92.3% for our system and 75.3% for Google. © 2014 Science Publications.","Arabic; Machine translation; Malay; Rule-Based",,Article,"Final","",Scopus,2-s2.0-84987704723
